@RELATION transition

@ATTRIBUTE Instance_number numeric
@ATTRIBUTE Function {'REPETITION', 'FULLY'}
@ATTRIBUTE N_Models NUMERIC
@ATTRIBUTE N_Epochs NUMERIC
@ATTRIBUTE Test_Split_Pctg NUMERIC
@ATTRIBUTE W1 NUMERIC
@ATTRIBUTE L1 NUMERIC

@DATA
120,FULLY,2,4000,0.05,191,0
121,FULLY,2,4000,0.25,184,0
122,FULLY,2,5500,0.05,184,0
123,FULLY,2,5500,0.25,213,0
124,FULLY,2,7000,0.05,174,0
125,FULLY,2,7000,0.25,192,0
126,FULLY,3,4000,0.05,159,12
127,FULLY,3,4000,0.25,152,10
128,FULLY,3,5500,0.05,167,28
129,FULLY,3,5500,0.25,150,26
130,FULLY,3,7000,0.05,156,28
131,FULLY,3,7000,0.25,158,23
132,FULLY,4,4000,0.05,165,2
133,FULLY,4,4000,0.25,161,2
134,FULLY,4,5500,0.05,166,15
135,FULLY,4,5500,0.25,167,9
136,FULLY,4,7000,0.05,170,8
137,FULLY,4,7000,0.25,160,9
138,FULLY,5,4000,0.05,152,20
139,FULLY,5,4000,0.25,148,27
140,FULLY,5,5500,0.05,147,26
141,FULLY,5,5500,0.25,145,32
142,FULLY,5,7000,0.05,150,39
143,FULLY,5,7000,0.25,158,62
144,FULLY,6,4000,0.05,161,8
145,FULLY,6,4000,0.25,161,7
146,FULLY,6,5500,0.05,141,4
147,FULLY,6,5500,0.25,148,9
148,FULLY,6,7000,0.05,147,29
149,FULLY,6,7000,0.25,155,44
150,FULLY,7,4000,0.05,164,16
151,FULLY,7,4000,0.25,164,21
152,FULLY,7,5500,0.05,152,28
153,FULLY,7,5500,0.25,150,34
154,FULLY,7,7000,0.05,144,43
155,FULLY,7,7000,0.25,137,61
156,FULLY,8,4000,0.05,156,7
157,FULLY,8,4000,0.25,160,8
158,FULLY,8,5500,0.05,142,22
159,FULLY,8,5500,0.25,140,25
160,FULLY,8,7000,0.05,145,28
161,FULLY,8,7000,0.25,142,28
162,FULLY,9,4000,0.05,153,10
163,FULLY,9,4000,0.25,147,28
164,FULLY,9,5500,0.05,143,20
165,FULLY,9,5500,0.25,132,41
166,FULLY,9,7000,0.05,126,37
167,FULLY,9,7000,0.25,141,61
168,FULLY,10,4000,0.05,153,16
169,FULLY,10,4000,0.25,147,6
170,FULLY,10,5500,0.05,146,9
171,FULLY,10,5500,0.25,141,35
172,FULLY,10,7000,0.05,137,27
173,FULLY,10,7000,0.25,140,25
174,FULLY,11,4000,0.05,145,31
175,FULLY,11,4000,0.25,143,28
176,FULLY,11,5500,0.05,138,22
177,FULLY,11,5500,0.25,142,35
178,FULLY,11,7000,0.05,135,52
179,FULLY,11,7000,0.25,145,54
180,FULLY,12,4000,0.05,140,8
181,FULLY,12,4000,0.25,146,11
182,FULLY,12,5500,0.05,144,28
183,FULLY,12,5500,0.25,154,21
184,FULLY,12,7000,0.05,136,26
185,FULLY,12,7000,0.25,141,26
186,FULLY,13,4000,0.05,150,15
187,FULLY,13,4000,0.25,142,20
188,FULLY,13,5500,0.05,144,19
189,FULLY,13,5500,0.25,151,44
190,FULLY,13,7000,0.05,142,31
191,FULLY,13,7000,0.25,136,49
192,FULLY,14,4000,0.05,138,5
193,FULLY,14,4000,0.25,149,19
194,FULLY,14,5500,0.05,133,14
195,FULLY,14,5500,0.25,138,32
196,FULLY,14,7000,0.05,138,26
197,FULLY,14,7000,0.25,138,35
198,FULLY,15,4000,0.05,147,13
199,FULLY,15,4000,0.25,153,30
200,FULLY,15,5500,0.05,140,24
201,FULLY,15,5500,0.25,135,46
202,FULLY,15,7000,0.05,129,43
203,FULLY,15,7000,0.25,134,56
204,FULLY,16,4000,0.05,148,12
205,FULLY,16,4000,0.25,147,18
206,FULLY,16,5500,0.05,142,24
207,FULLY,16,5500,0.25,138,19
208,FULLY,16,7000,0.05,127,26
209,FULLY,16,7000,0.25,135,31
210,FULLY,17,4000,0.05,149,24
211,FULLY,17,4000,0.25,142,31
212,FULLY,17,5500,0.05,135,32
213,FULLY,17,5500,0.25,134,37
214,FULLY,17,7000,0.05,140,31
215,FULLY,17,7000,0.25,132,37
216,FULLY,18,4000,0.05,148,10
217,FULLY,18,4000,0.25,145,14
218,FULLY,18,5500,0.05,133,19
219,FULLY,18,5500,0.25,139,31
220,FULLY,18,7000,0.05,126,27
221,FULLY,18,7000,0.25,130,47
222,FULLY,19,4000,0.05,141,19
223,FULLY,19,4000,0.25,144,32
224,FULLY,19,5500,0.05,142,29
225,FULLY,19,5500,0.25,130,42
226,FULLY,19,7000,0.05,130,36
227,FULLY,19,7000,0.25,130,45
228,FULLY,20,4000,0.05,147,15
229,FULLY,20,4000,0.25,154,21
230,FULLY,20,5500,0.05,139,14
231,FULLY,20,5500,0.25,135,31
232,FULLY,20,7000,0.05,135,27
233,FULLY,20,7000,0.25,124,41
234,FULLY,21,4000,0.05,147,16
235,FULLY,21,4000,0.25,152,27
236,FULLY,21,5500,0.05,130,28
237,FULLY,21,5500,0.25,139,37
238,FULLY,21,7000,0.05,133,39
239,FULLY,21,7000,0.25,135,39
